id,interviewId,questionId,timecode
cmp1rwhlq0waltgtsobki15y9,cmp1rwhld0w9qtgtstrr50cne,cmp1rweb80ravtgts276m9w3g,00:50:13
cmp1rwigu0xlztgtsn49hornt,cmp1rwig90xkntgtslh4u4xij,cmp1rwev50s7xtgtsm1gtv5ij,01:28:28
cmp1rwhyk0wuptgts0agfbepm,cmp1rwhyg0wudtgts69d3vqu0,cmp1rwinl0xzttgtskoejphep,00:10:15
cmp1rwgqs0uzitgtsa2dbvsfc,cmp1rwgqk0uyytgtsuj4bfekb,cmp1rwijr0xrwtgtsrgi0a2pf,00:24:16
cmp1rwjad0z14tgtsx38569h9,cmp1rwj9x0yzytgtsrcii8dgz,cmp1rwju210abtgtsi9v2mw2o,00:27:31
cmp1rwjgq0zfotgtseqnwtfcv,cmp1rwjgc0zertgtsp5nxrw7h,cmp1rwju210abtgtsi9v2mw2o,00:17:07
cmp1rwjlu0zr2tgtsgb51r541,cmp1rwjlm0zqgtgts2f1swy9i,cmp1rwju210abtgtsi9v2mw2o,00:16:25
cmp1rwjrz104ytgts172ml30e,cmp1rwjrm1041tgtsr6d28z8r,cmp1rwju210abtgtsi9v2mw2o,00:37:30
cmp1rwjzb10lztgtsk193dzoq,cmp1rwjz210lctgtssjcocr5v,cmp1rwju210abtgtsi9v2mw2o,00:16:43
cmp1rwjr3102otgtsv8tjqdcq,cmp1rwjqp101otgtsv0fim828,cmp1rwju210abtgtsi9v2mw2o,00:55:10
cmp1rwjcl0z6rtgtspr3ahtf0,cmp1rwjc20z5ftgtsmcqvjckw,cmp1rwjqi1016tgtsu26md8zk,00:51:40
cmp1rwjot0zwxtgtsupphe6rc,cmp1rwjo90zvmtgtscq9upel8,cmp1rwjqi1016tgtsu26md8zk,00:34:34
cmp1rwk3010uwtgtsv5wp2apx,cmp1rwk2r10ubtgtsltha0iof,cmp1rwjqi1016tgtsu26md8zk,00:14:10
cmp1rwk0510o2tgtsukibmicz,cmp1rwk0210nutgts7ko7i88q,cmp1rwjqi1016tgtsu26md8zk,00:04:53
cmp1rwk5z110qtgtso6gudkr1,cmp1rwk55110atgtsaxpsubrk,cmp1rwjxu10i7tgts37497dng,00:09:55
cmp1rwk1610qqtgtsmhc9z9nt,cmp1rwk0v10pytgtsisngg4kc,cmp1rwk3310v3tgtsgx637ezd,00:25:43
cmp1rwjfa0zbztgtsywtlie8k,cmp1rwjew0zb1tgts75hxwmj1,cmp1rwk3310v3tgtsgx637ezd,00:23:20
cmp1rwk7r1157tgtsxxljteyj,cmp1rwk7e1148tgtst0ox6i1y,cmp1rwjqf1010tgtscb08j4v5,00:19:28
cmp1rwp5q198ltgtsjp34bcwc,cmp1rwoz51963tgtszlfrkuom,cmp1rwp5p198ktgtsiinuvvuq,01:29:51
cmp1rwp5r198ntgtsr4e547z5,cmp1rwoz51963tgtszlfrkuom,cmp1rwp5q198mtgtsx2tvfoql,01:30:50
cmp1rwp5r198ptgtsyiogs6ls,cmp1rwoz51963tgtszlfrkuom,cmp1rwp5r198otgtsx68k3wb0,01:31:32
cmp1rwp5t198ttgtsycjrnenz,cmp1rwoz51963tgtszlfrkuom,cmp1rwp5t198stgtsrd1d9vz7,01:33:36
cmp1rwp5u198vtgtsadzaomvm,cmp1rwoz51963tgtszlfrkuom,cmp1rwp5u198utgtsq25eolde,01:34:31
cmp1rwp5v198xtgtsmeds79vh,cmp1rwoz51963tgtszlfrkuom,cmp1rwp5v198wtgts7s3rsh5k,01:35:16
cmp1rwp5z1997tgtsupjpsr9x,cmp1rwoz51963tgtszlfrkuom,cmp1rwp5z1996tgts71nif2zl,01:13:41
cmp1rwp601999tgts1adaywds,cmp1rwoz51963tgtszlfrkuom,cmp1rwp601998tgtszjhpo36o,01:28:55
cmp1rwp61199btgtsl3rzjhgh,cmp1rwp60199atgts0s16itaa,cmp1rwoz61964tgtsm2qppdkq,00:00:01
cmp1rwob418yotgtsi7kbt4ch,cmp1rwo9t18wutgts1pcvdz6i,cmp1rwob318yntgts04v2apc8,00:24:44
cmp1rwocv18yttgts8dqbjrpf,cmp1rwoct18yptgtsmuhrioh6,cmp1rwocv18ystgts5g4mx4d0,
cmp1rwocw18yvtgtso153vq3n,cmp1rwoct18yptgtsmuhrioh6,cmp1rwocw18yutgtsanx1pfyh,
